ID,medv
3,29.622190475463867
6,22.6851749420166
8,19.43161964416504
9,19.390052795410156
10,19.48441505432129
18,17.483461380004883
20,18.402135848999023
25,16.153600692749023
26,14.544042587280273
27,15.97575569152832
29,18.44242286682129
30,19.73552131652832
33,16.933469772338867
34,15.103986740112305
36,21.3553524017334
37,21.01460838317871
38,22.37623405456543
42,28.377710342407227
49,19.93861198425293
53,26.204763412475586
60,21.29655647277832
63,23.240999221801758
70,20.044265747070312
72,22.851526260375977
79,20.758092880249023
80,21.20953941345215
83,24.07094383239746
92,22.366933822631836
93,25.039630889892578
96,24.316247940063477
98,39.232826232910156
99,38.02174758911133
100,30.59535026550293
105,20.75464630126953
106,18.798303604125977
111,22.68988609313965
113,18.747314453125
114,18.618799209594727
116,18.121177673339844
126,21.150096893310547
130,15.959552764892578
131,19.61768913269043
133,19.91896629333496
136,17.373306274414062
141,15.686349868774414
144,15.761363983154297
145,15.347721099853516
147,15.003711700439453
152,17.78000831604004
153,19.31657600402832
156,17.27587127685547
158,31.960092544555664
163,46.35612487792969
169,22.04397201538086
185,19.228784561157227
186,22.814733505249023
189,27.716121673583984
196,43.18193054199219
197,33.39509963989258
199,31.75143814086914
200,27.9245662689209
203,36.696685791015625
208,18.79277992248535
210,17.7844181060791
211,20.567626953125
213,23.449787139892578
216,23.17486000061035
218,25.91048812866211
219,21.96180534362793
220,26.043493270874023
221,30.507543563842773
229,39.12322998046875
232,33.07650375366211
238,33.133056640625
239,26.999574661254883
240,25.77603530883789
242,21.123018264770508
246,16.905548095703125
248,20.17394256591797
253,29.08772850036621
255,21.66672706604004
256,20.345918655395508
257,36.008018493652344
258,53.51769256591797
259,36.23347473144531
260,33.293636322021484
268,47.14537811279297
270,23.423696517944336
271,21.10700798034668
276,30.78892707824707
277,32.773807525634766
278,32.671775817871094
279,27.186742782592773
281,42.90791320800781
288,25.103172302246094
290,25.58717918395996
292,32.176692962646484
295,23.117544174194336
296,28.644441604614258
299,25.721975326538086
300,29.901342391967773
301,27.26239585876465
308,30.961172103881836
314,21.12262535095215
315,21.653705596923828
320,20.67885398864746
322,23.45377540588379
323,21.81062126159668
324,17.865976333618164
327,24.090328216552734
330,23.673555374145508
332,18.33371925354004
333,20.11347770690918
336,22.298097610473633
338,19.867820739746094
346,18.969961166381836
347,18.235700607299805
351,21.461645126342773
352,24.251047134399414
354,29.523916244506836
355,21.27433204650879
356,23.269929885864258
362,18.931093215942383
364,20.864572525024414
365,38.723960876464844
370,35.280235290527344
376,21.231035232543945
379,11.831409454345703
380,12.986255645751953
381,16.777183532714844
382,13.979833602905273
386,10.942708969116211
389,10.756567001342773
391,16.800077438354492
394,18.66223907470703
396,17.189279556274414
398,15.005815505981445
400,13.022443771362305
403,14.900787353515625
405,9.428445816040039
406,10.539257049560547
407,11.046266555786133
410,12.427059173583984
411,13.645025253295898
412,10.392101287841797
413,9.534421920776367
417,10.117284774780273
421,16.987834930419922
422,17.052518844604492
423,17.208545684814453
424,10.22616958618164
427,12.706871032714844
431,13.014383316040039
436,10.578819274902344
437,11.017507553100586
439,10.268831253051758
447,15.806243896484375
450,14.676862716674805
451,12.421442031860352
455,11.333564758300781
457,11.637273788452148
471,18.441539764404297
474,23.0498104095459
476,13.545433044433594
483,26.85014533996582
486,22.723783493041992
490,12.96963119506836
495,22.532821655273438
496,21.2026309967041
497,16.741161346435547
499,21.43486976623535
501,19.84396743774414
505,22.29814338684082
